store,address,zip,status,updated,long,lat
Pete's Fresh Market,5838 S Pulaski Rd.,60629,OPEN,6/4/2020 15:00,-87.723053,41.786519
Whole Foods Market,3201 N Ashland Ave,60657-2156,OPEN,6/4/2020 15:00,-87.668592,41.93976
Target,401 E Illinois St,60611-4305,OPEN,6/5/2020 13:21,-87.617634,41.891053
Jewel - Osco,6107 S Archer Ave,60638-2743,OPEN,6/3/2020 17:00,-87.770696,41.794391
Foodsmart,2901 W Armitage Ave,60647,OPEN,6/4/2020 15:00,-87.699617,41.917474
Target,2434 N SACRAMENTO AVE,60647,CLOSED,6/10/2020 0:00,-87.702326,41.925616
Save A Lot,7240 S Stony Island,60649,OPEN,6/5/2020 13:21,-87.586265,41.762774
Aldi,821 W 115th St,60643-4618,OPEN,6/5/2020 13:21,-87.642588,41.685074
Trader Joe's,44 E ONTARIO ST,60611,OPEN,6/10/2020 0:00,-87.626344,41.893323
Leamington Foods,5467 W Madison St,60644,OPEN,6/4/2020 15:00,-87.763806,41.880217
Cermak Produce,3311 W 26th St.,60623,OPEN,6/4/2020 15:00,-87.708268,41.844499
Whole Foods Market,3640 N Halsted St,60613-4316,OPEN,6/4/2020 15:00,-87.649502,41.948387
Jewel - Osco,6430 W Irving Park Rd,60634-2459,OPEN,6/3/2020 17:00,-87.787727,41.952915
Carniceria Jimenez,3850 W Fullerton Ave,60647,OPEN,6/3/2020 21:30,-87.723901,41.924575
Target,6525 W Diversey Ave,60707-2312,OPEN,6/5/2020 13:21,-87.787135,41.930987
Aldi,10532 S Indianapolis Ave,60617-6355,OPEN,6/5/2020 13:21,-87.525607,41.703728
Costco,7300 S Cicero Ave,60629-5817,OPEN,6/5/2020 13:21,-87.741835,41.760134
Target,2650 N CLARK ST,60614,OPEN,6/10/2020 0:00,-87.643937,41.930805
Walmart,4626 W Diversey Ave,60639-1829,CLOSED,6/10/2020 0:00,-87.74243,41.931608
Mariano's Fresh Market,1615 S Clark Street,60616,OPEN,6/5/2020 13:21,-87.630264,41.859325
Aldi,4500 N Broadway St,60640-5602,OPEN,6/4/2020 15:00,-87.65629,41.963599
Aldi,8500 S Holland Rd,60620-1338,OPEN,6/5/2020 13:21,-87.631939,41.73934
Whole Foods Market,6009 N Broadway St,60660-2500,OPEN,6/4/2020 15:00,-87.660244,41.991499
Armitage Produce,3334 W. Armitage Ave.,60647,OPEN,6/10/2020 0:00,-87.710835,41.917361
Que Rico Supermercado,3552 W ARMITAGE AVE,60647,OPEN,6/10/2020 0:00,-87.715646,41.917317
Jewel - Osco,5320 S Pulaski Rd,60632-4224,OPEN,6/3/2020 17:00,-87.723312,41.795953
Clarendon Food Mart,4183 N CLARENDON AVE,60613,OPEN,6/10/2020 0:00,-87.649781,41.958174
Trader Joe's,1840 N CLYBOURN AVE,60614,OPEN,6/10/2020 0:00,-87.654343,41.914418
J Freshmart,2411 S WALLACE ST,60616,OPEN,6/10/2020 0:00,-87.642075,41.848785
Plum Market,1233 N WELLS ST,60610,OPEN,6/10/2020 0:00,-87.634502,41.904751
Jewel - Osco,4250 N Lincoln Ave,60618-2902,OPEN,6/3/2020 17:00,-87.682232,41.959156
First Choice Market,3019 E 91ST ST,60617,OPEN,6/10/2020 0:00,-87.550363,41.73008
La Feria Grocery,9704 S COMMERCIAL AVE,60617,OPEN,6/10/2020 0:00,-87.55104,41.718849
Target,1940 W 33rd St,60608-6107,OPEN,6/10/2020 0:00,-87.674594,41.834066
Tony's Finer Foods,2500 N Central Avenue,60639,OPEN,6/4/2020 15:00,-87.76607,41.926441
Jewel - Osco,550 N State St,60654-4815,OPEN,6/3/2020 17:00,-87.628072,41.89219
Jewel - Osco,4734 N Cumberland Ave Apt N,60656-4239,OPEN,6/3/2020 17:00,-87.836778,41.965579
Tai Nam Food Market,4925 N BROADWAY,60640,OPEN,6/10/2020 0:00,-87.659695,41.972167
Jewel - Osco,1224 S Wabash Ave,60605-2401,OPEN,6/3/2020 17:00,-87.6258,41.866345
Tony's Finer Foods,3607 W Fullerton,60647,OPEN,6/4/2020 15:00,-87.717603,41.924571
Trader Joe's,1528 E 55TH ST,60615,OPEN,6/10/2020 0:00,-87.588351,41.795263
Jewel - Osco,4355 N Sheridan Rd,60613-1497,OPEN,6/3/2020 17:00,-87.654722,41.961462
Trader Joe's,1147 S WABASH AVE,60605,OPEN,6/10/2020 0:00,-87.625838,41.86804
Jewel - Osco,2550 N Clybourn Ave,60614,OPEN,6/3/2020 17:00,-87.67355,41.928315
Jewel - Osco,4729 N Central Ave,60630-3269,OPEN,6/3/2020 17:00,-87.767429,41.966981
Jewel - Osco,4042 W Foster Ave,60630-2747,OPEN,6/3/2020 17:00,-87.729907,41.975461
Jewel - Osco,1763 W Howard St,60626-1626,OPEN,6/3/2020 17:00,-87.674817,42.019397
Market Fresh Finer Foods,800 N Kedzie Avenue,60651,OPEN,6/4/2020 15:00,-87.70659,41.895992
